date,game_id,team,before_rank,before,after,change,opponent,opponent_before,result,my_score,opponent_score,tournament,importance,expected
2022-07-01 14:00:00,100189,Venezuela,7,1502.02,1492.61,-9.41,Peru,940.86,L,4,5,XIX Juegos Bolivarianos - Beisbol | XIX Bolivarian Games - Baseball 2022,10.0,0.896
2022-07-01 19:00:00,100190,Colombia,11,1439.03,1433.17,-5.86,Dominican Republic,1508.29,L,4,11,XIX Juegos Bolivarianos - Beisbol | XIX Bolivarian Games - Baseball 2022,10.0,0.4339
2022-07-01 19:00:00,100190,Dominican Republic,6,1508.29,1514.15,5.86,Colombia,1439.03,W,11,4,XIX Juegos Bolivarianos - Beisbol | XIX Bolivarian Games - Baseball 2022,10.0,0.5661
2022-07-02 14:00:00,100193,Dominican Republic,6,1514.15,1515.49,1.34,Peru,950.27,W,7,1,XIX Juegos Bolivarianos - Beisbol | XIX Bolivarian Games - Baseball 2022,10.0,0.897
2022-07-02 14:00:00,100193,Peru,42,950.27,948.93,-1.34,Dominican Republic,1514.15,L,1,7,XIX Juegos Bolivarianos - Beisbol | XIX Bolivarian Games - Baseball 2022,10.0,0.103
2022-07-02 19:00:00,100194,Venezuela,7,1492.61,1484.26,-8.35,Colombia,1433.17,L,0,10,XIX Juegos Bolivarianos - Beisbol | XIX Bolivarian Games - Baseball 2022,10.0,0.5568
2022-07-02 19:00:00,100194,Colombia,11,1433.17,1441.52,8.35,Venezuela,1492.61,W,10,0,XIX Juegos Bolivarianos - Beisbol | XIX Bolivarian Games - Baseball 2022,10.0,0.4432
2022-07-03 14:00:00,100195,Venezuela,8,1484.26,1477.21,-7.05,Dominican Republic,1515.49,L,2,14,XIX Juegos Bolivarianos - Beisbol | XIX Bolivarian Games - Baseball 2022,10.0,0.4701
2022-07-03 14:00:00,100195,Dominican Republic,6,1515.49,1522.54,7.05,Venezuela,1484.26,W,14,2,XIX Juegos Bolivarianos - Beisbol | XIX Bolivarian Games - Baseball 2022,10.0,0.5299
2022-07-03 19:00:00,100196,Peru,42,948.93,947.1,-1.84,Colombia,1441.52,L,0,8,XIX Juegos Bolivarianos - Beisbol | XIX Bolivarian Games - Baseball 2022,10.0,0.1312
2022-07-03 19:00:00,100196,Colombia,11,1441.52,1443.36,1.84,Peru,948.93,W,8,0,XIX Juegos Bolivarianos - Beisbol | XIX Bolivarian Games - Baseball 2022,10.0,0.8688
2022-07-04 11:00:00,98593,Belgium,25,1216.0,1216.83,0.83,Croatia,1104.0,W,7,6,U-18 European Baseball Championship Qualifier 2022,2.0,0.6058
2022-07-04 11:00:00,98593,Croatia,32,1104.0,1103.17,-0.83,Belgium,1216.0,L,6,7,U-18 European Baseball Championship Qualifier 2022,2.0,0.3942
2022-07-04 14:00:00,100197,Venezuela,8,1477.21,1478.42,1.21,Peru,947.1,W,6,5,XIX Juegos Bolivarianos - Beisbol | XIX Bolivarian Games - Baseball 2022,10.0,0.8844
2022-07-04 14:00:00,100197,Peru,42,947.1,945.88,-1.21,Venezuela,1477.21,L,5,6,XIX Juegos Bolivarianos - Beisbol | XIX Bolivarian Games - Baseball 2022,10.0,0.1156
2022-07-04 16:00:00,98594,Romania,61,720.0,719.35,-0.65,Slovakia,1056.0,L,2,15,U-18 European Baseball Championship Qualifier 2022,2.0,0.2159
2022-07-04 16:00:00,98594,Slovakia,35,1056.0,1056.65,0.65,Romania,720.0,W,15,2,U-18 European Baseball Championship Qualifier 2022,2.0,0.7841
2022-07-04 19:00:00,100199,Dominican Republic,6,1522.54,1527.64,5.1,Colombia,1443.36,W,6,2,XIX Juegos Bolivarianos - Beisbol | XIX Bolivarian Games - Baseball 2022,10.0,0.5754
2022-07-04 19:00:00,100199,Colombia,11,1443.36,1438.26,-5.1,Dominican Republic,1522.54,L,2,6,XIX Juegos Bolivarianos - Beisbol | XIX Bolivarian Games - Baseball 2022,10.0,0.4246
2022-07-05 10:00:00,98583,Sweden,40,976.0,976.52,0.52,Poland,672.0,W,2,0,U-18 European Baseball Championship Qualifier 2022,2.0,0.7625
2022-07-05 10:00:00,98583,Poland,64,672.0,671.48,-0.52,Sweden,976.0,L,0,2,U-18 European Baseball Championship Qualifier 2022,2.0,0.2375
2022-07-05 10:00:00,98636,Great Britain,24,1232.0,1232.34,0.34,Finland,704.0,W,9,0,U-12 European Baseball Championship Qualifier 2022,2.0,0.8835
2022-07-05 10:00:00,98636,Finland,62,704.0,703.66,-0.34,Great Britain,1232.0,L,0,9,U-12 European Baseball Championship Qualifier 2022,2.0,0.1165
2022-07-05 10:30:00,99065,Netherlands,7,1488.0,1488.19,0.19,Hungary,784.0,W,15,0,U-12 European Baseball Championship 2022,2.0,0.9371
2022-07-05 10:30:00,99065,Hungary,57,784.0,783.81,-0.19,Netherlands,1488.0,L,0,15,U-12 European Baseball Championship 2022,2.0,0.0629
2022-07-05 13:30:00,99066,Italy,17,1344.0,1344.68,0.68,Lithuania,1024.0,W,12,2,U-12 European Baseball Championship 2022,2.0,0.7735
2022-07-05 13:30:00,99066,Lithuania,37,1024.0,1023.32,-0.68,Italy,1344.0,L,2,12,U-12 European Baseball Championship 2022,2.0,0.2265
2022-07-05 14:00:00,100200,Colombia,11,1438.26,1432.26,-6.0,Venezuela,1478.42,L,1,7,XIX Juegos Bolivarianos - Beisbol | XIX Bolivarian Games - Baseball 2022,10.0,0.4615
2022-07-05 14:00:00,100200,Venezuela,8,1478.42,1484.42,6.0,Colombia,1438.26,W,7,1,XIX Juegos Bolivarianos - Beisbol | XIX Bolivarian Games - Baseball 2022,10.0,0.5385
2022-07-05 14:00:00,98584,Great Britain,24,1232.34,1232.4,0.06,Türkiye,208.0,W,15,0,U-18 European Baseball Championship Qualifier 2022,2.0,0.9808
2022-07-05 14:00:00,98584,Türkiye,93,208.0,207.94,-0.06,Great Britain,1232.34,L,0,15,U-18 European Baseball Championship Qualifier 2022,2.0,0.0192
2022-07-05 14:00:00,99067,Germany,18,1328.0,1329.19,1.19,France,1264.0,W,12,5,U-12 European Baseball Championship 2022,2.0,0.5611
2022-07-05 14:00:00,99067,France,22,1264.0,1262.81,-1.19,Germany,1328.0,L,5,12,U-12 European Baseball Championship 2022,2.0,0.4389
2022-07-05 16:00:00,98596,Slovakia,35,1056.65,1055.59,-1.05,Belgium,1216.83,L,2,12,U-18 European Baseball Championship Qualifier 2022,2.0,0.351
2022-07-05 16:00:00,98596,Belgium,25,1216.83,1217.88,1.05,Slovakia,1056.65,W,12,2,U-18 European Baseball Championship Qualifier 2022,2.0,0.649
2022-07-05 18:00:00,98585,Switzerland,50,816.0,814.95,-1.05,Sweden,976.52,L,3,14,U-18 European Baseball Championship Qualifier 2022,2.0,0.3507
2022-07-05 18:00:00,98585,Sweden,40,976.52,977.57,1.05,Switzerland,816.0,W,14,3,U-18 European Baseball Championship Qualifier 2022,2.0,0.6493
2022-07-05 18:00:00,99068,Czechia,14,1392.0,1392.82,0.82,Austria,1136.0,W,15,0,U-12 European Baseball Championship 2022,2.0,0.7276
2022-07-05 18:00:00,99068,Austria,30,1136.0,1135.18,-0.82,Czechia,1392.0,L,0,15,U-12 European Baseball Championship 2022,2.0,0.2724
2022-07-05 18:00:00,98637,Ukraine,29,1152.0,1153.04,1.04,Croatia,1103.17,W,4,1,U-12 European Baseball Championship Qualifier 2022,2.0,0.5467
2022-07-05 18:00:00,98637,Croatia,32,1103.17,1102.13,-1.04,Ukraine,1152.0,L,1,4,U-12 European Baseball Championship Qualifier 2022,2.0,0.4533
2022-07-06 09:30:00,98595,Ukraine,29,1153.04,1153.47,0.43,Romania,719.35,W,7,0,U-18 European Baseball Championship Qualifier 2022,2.0,0.8408
2022-07-06 09:30:00,98595,Romania,61,719.35,718.92,-0.43,Ukraine,1153.04,L,0,7,U-18 European Baseball Championship Qualifier 2022,2.0,0.1592
2022-07-06 10:00:00,98582,Türkiye,93,207.94,207.68,-0.27,Switzerland,814.95,L,0,17,U-18 European Baseball Championship Qualifier 2022,2.0,0.0887
2022-07-06 10:00:00,98582,Switzerland,50,814.95,815.21,0.27,Türkiye,207.94,W,17,0,U-18 European Baseball Championship Qualifier 2022,2.0,0.9113
2022-07-06 10:00:00,99069,Hungary,57,783.81,783.5,-0.31,Italy,1344.68,L,0,20,U-12 European Baseball Championship 2022,2.0,0.1041
2022-07-06 10:00:00,99069,Italy,17,1344.68,1344.99,0.31,Hungary,783.81,W,20,0,U-12 European Baseball Championship 2022,2.0,0.8959
