tournament,date,home,away,home_score,away_score,home_hits,away_hits,home_errors,away_errors,stadium,location,duration,game_id
XXIV Campeonato Panamericano Sub-10 - U-10 Pan American Championship 2024,2024-11-23 09:00:00,Venezuela,Dominican Republic,11,2,4,7,0,3,Liga Treviño Kelly,Reynosa,2:10,153175
XXIV Campeonato Panamericano Sub-10 - U-10 Pan American Championship 2024,2024-11-23 16:00:00,Puerto Rico,Panama,1,6,1,7,2,0,Liga Treviño Kelly,Reynosa,2:33,153176
XXIV Campeonato Panamericano Sub-10 - U-10 Pan American Championship 2024,2024-11-23 19:00:00,Mexico,Brazil,17,2,18,3,0,2,Liga Treviño Kelly,Reynosa,1:45,153177
XXIV Campeonato Panamericano Sub-10 - U-10 Pan American Championship 2024,2024-11-25 10:00:00,Venezuela,Puerto Rico,17,10,3,9,1,6,Liga Treviño Kelly,Reynosa,2:54,153178
XXIV Campeonato Panamericano Sub-10 - U-10 Pan American Championship 2024,2024-11-25 15:00:00,Panama,Brazil,17,6,12,6,2,2,Liga Treviño Kelly,Reynosa,2:21,153179
XXIV Campeonato Panamericano Sub-10 - U-10 Pan American Championship 2024,2024-11-25 19:30:00,Dominican Republic,Mexico,2,12,4,6,3,1,Liga Treviño Kelly,Reynosa,1:53,153180
XXIV Campeonato Panamericano Sub-10 - U-10 Pan American Championship 2024,2024-11-26 10:00:00,Brazil,Puerto Rico,3,1,5,6,0,2,Liga Treviño Kelly,Reynosa,1:52,153181
XXIV Campeonato Panamericano Sub-10 - U-10 Pan American Championship 2024,2024-11-26 16:00:00,Panama,Dominican Republic,3,8,2,3,1,2,Liga Treviño Kelly,Reynosa,2:49,153182
XXIV Campeonato Panamericano Sub-10 - U-10 Pan American Championship 2024,2024-11-26 19:00:00,Mexico,Venezuela,4,2,3,2,0,1,Liga Treviño Kelly,Reynosa,2:02,153183
XXIV Campeonato Panamericano Sub-10 - U-10 Pan American Championship 2024,2024-11-27 10:00:00,Puerto Rico,Dominican Republic,6,5,6,5,4,3,Liga Treviño Kelly,Reynosa,2:17,153184
XXIV Campeonato Panamericano Sub-10 - U-10 Pan American Championship 2024,2024-11-27 16:00:00,Brazil,Venezuela,7,17,6,13,5,1,Liga Treviño Kelly,Reynosa,,153185
XXIV Campeonato Panamericano Sub-10 - U-10 Pan American Championship 2024,2024-11-27 19:00:00,Mexico,Panama,7,2,4,3,2,1,Liga Treviño Kelly,Reynosa,2:38,153186
XXIV Campeonato Panamericano Sub-10 - U-10 Pan American Championship 2024,2024-11-28 10:00:00,Dominican Republic,Brazil,14,6,8,4,0,1,Liga Treviño Kelly,Reynosa,2:45,153187
XXIV Campeonato Panamericano Sub-10 - U-10 Pan American Championship 2024,2024-11-28 16:00:00,Venezuela,Panama,0,9,1,10,2,0,Liga Treviño Kelly,Reynosa,2:40,153188
XXIV Campeonato Panamericano Sub-10 - U-10 Pan American Championship 2024,2024-11-28 19:00:00,Puerto Rico,Mexico,6,12,7,7,3,1,Liga Treviño Kelly,Reynosa,2:57,153189
XXIV Campeonato Panamericano Sub-10 - U-10 Pan American Championship 2024,2024-11-29 10:00:00,Brazil,Puerto Rico,13,10,6,8,4,4,Liga Treviño Kelly,Reynosa,2:44,153190
XXIV Campeonato Panamericano Sub-10 - U-10 Pan American Championship 2024,2024-11-29 16:00:00,Panama,Venezuela,2,3,6,3,2,0,Liga Treviño Kelly,Reynosa,2:23,153191
XXIV Campeonato Panamericano Sub-10 - U-10 Pan American Championship 2024,2024-11-29 19:00:00,Mexico,Dominican Republic,1,0,2,3,1,0,Liga Treviño Kelly,Reynosa,1:41,153192
XXIV Campeonato Panamericano Sub-10 - U-10 Pan American Championship 2024,2024-11-30 10:00:00,Panama,Dominican Republic,13,6,11,6,4,5,Liga Treviño Kelly,Reynosa,2:11,153193
XXIV Campeonato Panamericano Sub-10 - U-10 Pan American Championship 2024,2024-11-30 12:30:00,Mexico,Venezuela,6,0,6,2,0,0,Liga Treviño Kelly,Reynosa,1:59,153194
Central American & Caribbean Games Qualifier 2023 - Clasificatorio para los Juegos Centroamericanos y del Caribe 2023,2023-02-06 11:00:00,El Salvador,Costa Rica,1,3,2,6,1,0,Estadio Nacional Soberanía,Managua,,105653
Central American & Caribbean Games Qualifier 2023 - Clasificatorio para los Juegos Centroamericanos y del Caribe 2023,2023-02-06 18:30:00,Nicaragua,Honduras,7,0,8,1,0,4,Estadio Nacional Soberanía,Managua,2:24,105654
Central American & Caribbean Games Qualifier 2023 - Clasificatorio para los Juegos Centroamericanos y del Caribe 2023,2023-02-07 11:00:00,Team WBSC,Honduras,2,10,6,14,1,0,Estadio Nacional Soberanía,Managua,2:50,105655
Central American & Caribbean Games Qualifier 2023 - Clasificatorio para los Juegos Centroamericanos y del Caribe 2023,2023-02-07 18:30:00,Costa Rica,Nicaragua,0,13,3,12,5,1,Estadio Nacional Soberanía,Managua,2:32,105656
Central American & Caribbean Games Qualifier 2023 - Clasificatorio para los Juegos Centroamericanos y del Caribe 2023,2023-02-08 11:00:00,Honduras,Costa Rica,6,1,12,4,2,4,Estadio Nacional Soberanía,Managua,2:27,105657
Central American & Caribbean Games Qualifier 2023 - Clasificatorio para los Juegos Centroamericanos y del Caribe 2023,2023-02-08 18:30:00,El Salvador,Team WBSC,2,3,8,5,2,2,Estadio Nacional Soberanía,Managua,2:42,105658
Central American & Caribbean Games Qualifier 2023 - Clasificatorio para los Juegos Centroamericanos y del Caribe 2023,2023-02-09 11:00:00,Costa Rica,Team WBSC,5,3,5,4,3,0,Estadio Nacional Soberanía,Managua,2:18,105659
Central American & Caribbean Games Qualifier 2023 - Clasificatorio para los Juegos Centroamericanos y del Caribe 2023,2023-02-09 18:30:00,Nicaragua,El Salvador,8,0,6,3,0,3,Estadio Nacional Soberanía,Managua,2:36,105660
Central American & Caribbean Games Qualifier 2023 - Clasificatorio para los Juegos Centroamericanos y del Caribe 2023,2023-02-10 11:00:00,Honduras,El Salvador,8,4,10,5,3,3,Estadio Nacional Soberanía,Managua,2:58,105661
Central American & Caribbean Games Qualifier 2023 - Clasificatorio para los Juegos Centroamericanos y del Caribe 2023,2023-02-10 18:30:00,Team WBSC,Nicaragua,0,21,4,15,2,1,Estadio Nacional Soberanía,Managua,2:34,105662
Central American & Caribbean Games Qualifier 2023 - Clasificatorio para los Juegos Centroamericanos y del Caribe 2023,2023-02-12 13:00:00,Costa Rica,Team WBSC,4,0,10,8,2,5,Estadio Nacional Soberanía,Managua,2:37,105670
Central American & Caribbean Games Qualifier 2023 - Clasificatorio para los Juegos Centroamericanos y del Caribe 2023,2023-02-12 18:00:00,Nicaragua,Honduras,13,1,11,5,1,3,Estadio Nacional Soberanía,Managua,2:54,105671
V ALBA Sports Game - V Juegos Deportivos del ALBA 2023,2023-04-22 15:00:00,Venezuela Vinotinto,Cuba,4,2,7,4,2,0,"Estadio ""Jorge Luis García Carneiro""",Macuto,2:14,118037
V ALBA Sports Game - V Juegos Deportivos del ALBA 2023,2023-04-22 19:00:00,Venezuela Tricolor,Nicaragua,2,0,9,0,0,3,"Estadio ""Jorge Luis García Carneiro""",Macuto,,118038
V ALBA Sports Game - V Juegos Deportivos del ALBA 2023,2023-04-23 15:00:00,Nicaragua,Venezuela Vinotinto,2,6,7,10,1,1,"Estadio ""Jorge Luis García Carneiro""",Macuto,2:17,118164
V ALBA Sports Game - V Juegos Deportivos del ALBA 2023,2023-04-23 19:00:00,Cuba,Venezuela Tricolor,8,7,6,12,0,3,"Estadio ""Jorge Luis García Carneiro""",Macuto,2:47,118165
V ALBA Sports Game - V Juegos Deportivos del ALBA 2023,2023-04-24 15:00:00,Cuba,Nicaragua,7,0,11,1,2,2,"Estadio ""Jorge Luis García Carneiro""",Macuto,2:23,118162
V ALBA Sports Game - V Juegos Deportivos del ALBA 2023,2023-04-24 19:00:00,Venezuela Tricolor,Venezuela Vinotinto,2,1,3,6,2,0,"Estadio ""Jorge Luis García Carneiro""",Macuto,2:44,118163
V ALBA Sports Game - V Juegos Deportivos del ALBA 2023,2023-04-26 10:00:00,Cuba,Nicaragua,10,7,12,9,0,2,"Estadio ""Jorge Luis García Carneiro""",Macuto,2:59,118166
V ALBA Sports Game - V Juegos Deportivos del ALBA 2023,2023-04-26 15:00:00,Venezuela Vinotinto,Venezuela Tricolor,2,1,5,4,0,1,"Estadio ""Jorge Luis García Carneiro""",Macuto,2:36,118167
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-19 10:00:00,Dominican Republic,Cuba,0,6,0,0,0,0,Estadio Ferrocarrilero,Desarrollo Especial Talleres F.F.C.C.,0,119630
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-19 10:00:00,Venezuela,Puerto Rico,21,11,24,12,0,4,Cecadi,Ojocaliente I,2:38,119632
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-19 15:00:00,United States,Brazil,16,1,8,0,0,5,Estadio Ferrocarrilero,Desarrollo Especial Talleres F.F.C.C.,1:26,119631
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-19 15:00:00,Mexico,Panama,5,4,6,7,1,1,Cecadi,Ojocaliente I,1:58,119633
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-20 10:00:00,Puerto Rico,Dominican Republic,4,5,2,5,2,1,Estadio Ferrocarrilero,Desarrollo Especial Talleres F.F.C.C.,2:18,119634
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-20 10:00:00,Cuba,Panama,11,12,10,9,3,3,Cecadi,Ojocaliente I,2:41,119635
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-20 15:00:00,Brazil,Mexico,4,19,7,16,4,0,Estadio Ferrocarrilero,Desarrollo Especial Talleres F.F.C.C.,2:06,119636
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-20 15:00:00,United States,Venezuela,25,24,18,22,1,3,Cecadi,Ojocaliente I,3:21,119637
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-21 10:00:00,Puerto Rico,Brazil,12,1,15,4,1,0,Estadio Ferrocarrilero,Desarrollo Especial Talleres F.F.C.C.,1:24,119641
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-21 10:00:00,Panama,Dominican Republic,14,3,11,7,1,5,Cecadi,Ojocaliente I,1:46,119638
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-21 15:00:00,Cuba,United States,4,14,4,10,5,1,Estadio Ferrocarrilero,Desarrollo Especial Talleres F.F.C.C.,1:54,119639
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-21 15:00:00,Mexico,Venezuela,15,8,16,8,3,3,Cecadi,Ojocaliente I,2:53,119640
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-22 10:00:00,Dominican Republic,Brazil,24,2,22,3,1,3,Estadio Ferrocarrilero,Desarrollo Especial Talleres F.F.C.C.,2:00,120180
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-22 10:00:00,Venezuela,Panama,20,11,17,11,1,5,Cecadi,Ojocaliente I,2:53,120181
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-22 15:00:00,Cuba,Puerto Rico,21,27,20,21,5,2,Cecadi,Ojocaliente I,4:05,120183
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-23 10:00:00,Venezuela,Dominican Republic,12,10,16,10,3,1,Cecadi,Ojocaliente I,2:29,120184
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-23 10:00:00,Cuba,Brazil,8,0,10,2,0,5,Estadio Ferrocarrilero,Desarrollo Especial Talleres F.F.C.C.,2:05,120185
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-23 15:00:00,Panama,United States,8,18,8,18,1,3,Cecadi,Ojocaliente I,,120186
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-23 15:00:00,Mexico,Puerto Rico,8,6,10,8,0,1,Estadio Ferrocarrilero,Desarrollo Especial Talleres F.F.C.C.,2:01,120187
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-24 10:00:00,United States,Dominican Republic,19,9,15,8,2,1,Estadio Ferrocarrilero,Desarrollo Especial Talleres F.F.C.C.,2:40,120188
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-24 10:00:00,Brazil,Venezuela,5,35,10,26,8,3,Cecadi,Ojocaliente I,2:10,120189
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-24 15:00:00,Mexico,Cuba,13,3,10,6,0,1,Estadio Ferrocarrilero,Desarrollo Especial Talleres F.F.C.C.,2:15,120190
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-24 15:00:00,Panama,Puerto Rico,9,8,9,12,1,3,Cecadi,Ojocaliente I,2:47,120191
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-25 10:00:00,Puerto Rico,United States,5,20,6,15,4,3,Estadio Ferrocarrilero,Desarrollo Especial Talleres F.F.C.C.,2:43,120194
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-25 10:00:00,Brazil,Panama,9,14,12,16,3,2,Cecadi,Ojocaliente I,2:15,120195
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-25 15:00:00,Dominican Republic,Mexico,11,15,12,10,4,2,Estadio Ferrocarrilero,Desarrollo Especial Talleres F.F.C.C.,3:05,120196
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-25 15:00:00,Venezuela,Cuba,16,13,13,11,1,0,Cecadi,Ojocaliente I,2:21,120197
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-26 14:00:00,United States,Mexico,10,0,9,4,0,3,Estadio Ferrocarrilero,Desarrollo Especial Talleres F.F.C.C.,1:43,120182
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-27 10:00:00,Dominican Republic,Brazil,15,0,9,2,0,2,Estadio Ferrocarrilero,Desarrollo Especial Talleres F.F.C.C.,1:18,120198
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-27 10:00:00,United States,Panama,13,0,8,6,0,2,Cecadi,Ojocaliente I,2:11,120201
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-27 15:00:00,Puerto Rico,Cuba,11,3,9,7,1,2,Estadio Ferrocarrilero,Desarrollo Especial Talleres F.F.C.C.,1:55,120199
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-27 15:00:00,Mexico,Venezuela,4,17,7,16,4,0,Cecadi,Ojocaliente I,2:02,120200
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-28 09:00:00,Mexico,Panama,21,5,12,5,0,4,Cecadi,Ojocaliente I,2:05,120193
Campeonato Panamericano Sub-12 | U-12 Pan American Championship - 2023,2023-05-28 14:00:00,United States,Venezuela,29,28,20,17,5,3,Cecadi,Ojocaliente I,4:12,120192
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group A 2023,2023-06-24 09:30:00,Cuba,Mexico,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,0,121468
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group A 2023,2023-06-24 13:00:00,Venezuela,Puerto Rico,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,0,121469
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group A 2023,2023-06-24 16:30:00,Nicaragua,Dominican Republic,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,0,121470
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group A 2023,2023-06-24 20:00:00,El Salvador,Curaçao,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,0,121471
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group A 2023,2023-06-25 09:30:00,Dominican Republic,Venezuela,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,0,121800
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group A 2023,2023-06-25 13:00:00,Curaçao,Cuba,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,0,121801
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group A 2023,2023-06-25 16:30:00,Puerto Rico,Nicaragua,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,0,121803
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group A 2023,2023-06-25 20:00:00,Mexico,El Salvador,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,0,121804
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group A 2023,2023-06-26 09:30:00,Dominican Republic,Puerto Rico,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,0,121805
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group A 2023,2023-06-26 13:00:00,Curaçao,Mexico,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,0,121807
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group A 2023,2023-06-26 16:30:00,Cuba,Venezuela,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,0,121806
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group A 2023,2023-06-26 20:00:00,El Salvador,Nicaragua,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,0,121808
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group A 2023,2023-06-27 09:30:00,Venezuela,Curaçao,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,0,121809
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group A 2023,2023-06-27 13:00:00,Nicaragua,Mexico,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,0,121810
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group A 2023,2023-06-27 16:30:00,Puerto Rico,Cuba,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,0,121811
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group A 2023,2023-06-27 20:00:00,Dominican Republic,El Salvador,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,0,121812
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group A 2023,2023-06-28 09:30:00,Curaçao,Puerto Rico,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,0,121815
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group A 2023,2023-06-28 13:00:00,Nicaragua,Venezuela,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,0,121816
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group A 2023,2023-06-28 16:30:00,Mexico,Dominican Republic,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,0,121817
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group A 2023,2023-06-28 20:00:00,El Salvador,Cuba,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,0,121818
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group A 2023,2023-06-29 09:30:00,Mexico,Puerto Rico,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,0,121819
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group A 2023,2023-06-29 13:00:00,Cuba,Dominican Republic,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,0,121820
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group A 2023,2023-06-29 16:30:00,Nicaragua,Curaçao,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,0,121821
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group A 2023,2023-06-29 20:00:00,Venezuela,El Salvador,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,0,121822
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group A 2023,2023-06-30 09:30:00,Cuba,Nicaragua,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,0,121823
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group A 2023,2023-06-30 13:00:00,Dominican Republic,Curaçao,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,0,121824
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group A 2023,2023-06-30 16:30:00,Venezuela,Mexico,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,0,121826
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group A 2023,2023-06-30 20:00:00,Puerto Rico,El Salvador,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,0,121825
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group A 2023,2023-07-01 13:00:00,3° Lugar RA / 3rd Place after OR,4° Lugar RA / 4th Place after OR,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,0,121814
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group A 2023,2023-07-01 16:30:00,2° Lugar RA / 2nd Place after OR,1° Lugar RA / 1st Place after OR,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,0,121813
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group B 2023,2023-06-16 11:00:00,Panama,Canada,5,6,7,5,2,1,Estadio Nacional de Béisbol,Buenos Aires,2:58,121304
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group B 2023,2023-06-16 15:00:00,Argentina,Peru,11,4,7,5,2,2,Estadio Nacional de Béisbol,Buenos Aires,2:38,121340
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group B 2023,2023-06-17 11:00:00,Honduras,Peru,0,4,4,10,0,1,Estadio Nacional de Béisbol,Buenos Aires,2:24,121341
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group B 2023,2023-06-17 15:00:00,Canada,Argentina,3,8,4,11,1,0,Estadio Nacional de Béisbol,Buenos Aires,,121342
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group B 2023,2023-06-18 11:00:00,Peru,Panama,0,9,3,8,1,1,Estadio Nacional de Béisbol,Buenos Aires,2:10,121343
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group B 2023,2023-06-18 15:00:00,Argentina,Honduras,4,2,8,2,1,0,Estadio Nacional de Béisbol,Buenos Aires,2:28,121344
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group B 2023,2023-06-19 11:00:00,Peru,Canada,1,11,6,12,3,0,Estadio Nacional de Béisbol,Buenos Aires,3:12,121345
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group B 2023,2023-06-19 15:00:00,Honduras,Panama,0,4,4,9,1,1,Estadio Nacional de Béisbol,Buenos Aires,2:22,121346
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group B 2023,2023-06-20 11:00:00,Canada,Honduras,10,0,7,2,0,3,Estadio Nacional de Béisbol,Buenos Aires,1:41,121347
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group B 2023,2023-06-20 15:00:00,Panama,Argentina,7,2,9,5,3,4,Estadio Nacional de Béisbol,Buenos Aires,2:28,121348
Qualifier Tournament for the XIX Pan American Games - Torneo Clasificatorio para los XIX Juegos Panamericanos Group B 2023,2023-06-21 11:00:00,Panama,Argentina,9,3,9,7,1,0,Estadio Nacional de Béisbol,Buenos Aires,2:04,121349
XXIV Central American and Caribbean Games - Men's Baseball 2023,2023-06-24 09:30:00,Cuba,Mexico,0,4,2,10,0,1,Estadio Saturnino Bengoa,San Salvador,2:26,121849
XXIV Central American and Caribbean Games - Men's Baseball 2023,2023-06-24 13:00:00,Venezuela,Puerto Rico,4,3,6,5,0,2,Estadio Saturnino Bengoa,San Salvador,2:17,121850
XXIV Central American and Caribbean Games - Men's Baseball 2023,2023-06-24 16:30:00,Nicaragua,Dominican Republic,5,6,8,10,1,1,Estadio Saturnino Bengoa,San Salvador,3:25,121851
XXIV Central American and Caribbean Games - Men's Baseball 2023,2023-06-24 20:00:00,El Salvador,Curaçao,4,12,9,14,7,1,Estadio Saturnino Bengoa,San Salvador,3:00,121852
XXIV Central American and Caribbean Games - Men's Baseball 2023,2023-06-25 09:30:00,Dominican Republic,Venezuela,2,5,5,7,0,4,Estadio Saturnino Bengoa,San Salvador,2:29,121853
XXIV Central American and Caribbean Games - Men's Baseball 2023,2023-06-25 13:00:00,Curaçao,Cuba,2,4,6,8,3,0,Estadio Saturnino Bengoa,San Salvador,2:00,121854
XXIV Central American and Caribbean Games - Men's Baseball 2023,2023-06-25 16:30:00,Puerto Rico,Nicaragua,1,3,4,9,2,0,Estadio Saturnino Bengoa,San Salvador,2:30,121855
XXIV Central American and Caribbean Games - Men's Baseball 2023,2023-06-25 20:00:00,Mexico,El Salvador,4,0,10,4,0,0,Estadio Saturnino Bengoa,San Salvador,1:49,121856
XXIV Central American and Caribbean Games - Men's Baseball 2023,2023-06-26 09:30:00,Dominican Republic,Puerto Rico,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,0,121857
XXIV Central American and Caribbean Games - Men's Baseball 2023,2023-06-26 13:00:00,Curaçao,Mexico,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,0,121858
XXIV Central American and Caribbean Games - Men's Baseball 2023,2023-06-26 20:00:00,El Salvador,Nicaragua,0,0,0,0,0,0,Estadio Saturnino Bengoa,San Salvador,,121860
XXIV Central American and Caribbean Games - Men's Baseball 2023,2023-06-27 14:30:00,Venezuela,Curaçao,3,4,6,6,2,1,Estadio Saturnino Bengoa,San Salvador,2:14,121861
XXIV Central American and Caribbean Games - Men's Baseball 2023,2023-06-27 17:30:00,Mexico,Nicaragua,7,0,8,2,0,0,Estadio Saturnino Bengoa,San Salvador,1:47,121862
XXIV Central American and Caribbean Games - Men's Baseball 2023,2023-06-27 20:30:00,Puerto Rico,Cuba,5,4,7,13,0,0,Estadio Saturnino Bengoa,San Salvador,3:30,121863
XXIV Central American and Caribbean Games - Men's Baseball 2023,2023-06-28 11:00:00,Curaçao,Puerto Rico,3,2,6,8,1,1,Estadio Saturnino Bengoa,San Salvador,2:24,121865
XXIV Central American and Caribbean Games - Men's Baseball 2023,2023-06-28 14:10:00,Nicaragua,Venezuela,1,4,2,7,1,1,Estadio Saturnino Bengoa,San Salvador,2:28,121866
