tournament,date,home,away,home_score,away_score,home_hits,away_hits,home_errors,away_errors,stadium,location,duration,game_id
World Baseball Classic Pool Play,2023-03-12,Korea,Czechia,7,3,,,,,Tokyo Dome,,,719527
World Baseball Classic Pool Play,2023-03-12,Cuba,Chinese Taipei,7,1,,,,,Taichung Intercontinental Baseball Stadium,,,719534
World Baseball Classic Pool Play,2023-03-12,Australia,Japan,1,7,,,,,Tokyo Dome,,,719528
World Baseball Classic Pool Play,2023-03-12,Italy,Kingdom of the Netherlands,7,1,,,,,Taichung Intercontinental Baseball Stadium,,,719536
World Baseball Classic Pool Play,2023-03-12,Israel,Nicaragua,3,1,,,,,loanDepot park,,,719508
World Baseball Classic Pool Play,2023-03-12,Canada,Great Britain,18,8,,,,,Chase Field,,,719517
World Baseball Classic Pool Play,2023-03-12,Puerto Rico,Venezuela,6,9,,,,,loanDepot park,,,719511
World Baseball Classic Pool Play,2023-03-12,United States,Mexico,5,11,,,,,Chase Field,,,719518
World Baseball Classic Pool Play,2023-03-13,Czechia,Australia,3,8,,,,,Tokyo Dome,,,719522
World Baseball Classic Pool Play,2023-03-13,China,Korea,2,22,,,,,Tokyo Dome,,,719525
World Baseball Classic Pool Play,2023-03-13,Nicaragua,Dominican Republic,1,6,,,,,loanDepot park,,,719509
World Baseball Classic Pool Play,2023-03-13,Great Britain,Colombia,7,5,,,,,Chase Field,,,719519
World Baseball Classic Pool Play,2023-03-13,Puerto Rico,Israel,10,0,,,,,loanDepot park,,,719510
World Baseball Classic Pool Play,2023-03-13,United States,Canada,12,1,,,,,Chase Field,,,719520
World Baseball Classic Pool Play,2023-03-14,Venezuela,Nicaragua,4,1,,,,,loanDepot park,,,719505
World Baseball Classic Pool Play,2023-03-14,Colombia,Canada,0,5,,,,,Chase Field,,,719516
World Baseball Classic Pool Play,2023-03-14,Dominican Republic,Israel,10,0,,,,,loanDepot park,,,719507
World Baseball Classic Pool Play,2023-03-14,Mexico,Great Britain,2,1,,,,,Chase Field,,,719521
World Baseball Classic Quarterfinals,2023-03-15,Cuba,Australia,4,3,,,,,Tokyo Dome,,,719503
World Baseball Classic Pool Play,2023-03-15,Israel,Venezuela,1,5,,,,,loanDepot park,,,719504
World Baseball Classic Pool Play,2023-03-15,Canada,Mexico,3,10,,,,,Chase Field,,,719513
World Baseball Classic Pool Play,2023-03-15,Dominican Republic,Puerto Rico,2,5,,,,,loanDepot park,,,719506
World Baseball Classic Pool Play,2023-03-15,Colombia,United States,2,3,,,,,Chase Field,,,719515
World Baseball Classic Quarterfinals,2023-03-16,Japan,Italy,9,3,,,,,Tokyo Dome,,,719502
World Baseball Classic Quarterfinals,2023-03-17,Mexico,Puerto Rico,5,4,,,,,loanDepot park,,,719500
World Baseball Classic Quarterfinals,2023-03-18,Venezuela,United States,7,9,,,,,loanDepot park,,,719501
World Baseball Classic Semifinals,2023-03-19,United States,Cuba,14,2,,,,,loanDepot park,,,719498
World Baseball Classic Semifinals,2023-03-20,Japan,Mexico,6,5,,,,,loanDepot park,,,719499
World Baseball Classic Finals,2023-03-21,Japan,United States,3,2,,,,,loanDepot park,,,719497
